PM10_out,Wind_Direction,PM10_in,blower_rpm,NO2,Humidity,Temperature,datetime,Location_Type,device_id,CO2_in,humidity_in,total_pressure_after_blower,sprinkler_ok,temp_out,CO,PM2.5,SO2,tank_pressure,VOCs,PM10,CO2,humidity_out,PM2_5_out,latitude,chemical_level,chemical_temp,chemical_pH,longitude,CO2_out,power_source,PM5_in,PM5_out,atm_pressure,CH4,PM2_5_in,NOx,temp_in
81.42400096,276,87.41722139,1057.02341,55.23029856,45.45474902,31.08512009,1/1/2000 0:00,Urban,DEVICE_001,583.5868033,83.73377089,106.6758821,0,25.74805068,2.789606408,39.96714153,4.531693251,3.066657039,75.31726086,57.92603548,427.6743473,81.20374401,33.01570108,12.9716,74.82411316,56.54312046,7.273478498,77.5946,558.7144211,grid,107.74264,64.04713099,977.1715994,1.706105123,26.29028682,116.1922135,30.65008133
99.95301324,134,191.1285752,1048.187279,79.05161838,60.7982122,33.71110263,1/2/2000 0:00,Industrial,DEVICE_001,565.6318449,84.55051584,59.30551454,1,31.15758367,1.966569215,101.9356718,18.74478016,3.944069473,145.0839865,150.7742994,529.7396192,84.86042656,96.83392139,12.9716,71.8554704,41.01441927,6.927972673,77.5946,428.2898298,grid,85.05349129,145.3388596,997.1891207,2.492663447,67.31860895,76.82682555,22.30789284
141.6056192,1,151.7589095,1443.752748,60.4666039,54.87566853,33.77869783,1/3/2000 0:00,Industrial,DEVICE_001,361.5389296,48.83268459,100.8957901,0,26.08615184,2.626445837,70.99619225,14.89223903,3.227377653,145.1473384,138.9487964,499.8894428,45.91710535,17.30835043,12.9716,18.61787788,48.99641087,6.84190674,77.5946,501.8646706,grid,53.33386628,107.6032756,968.1933485,2.431164864,105.3887711,158.73102,32.11275779
111.6009326,251,127.7585272,1049.72772,15.33328639,67.11331923,31.56587718,1/4/2000 0:00,Rural,DEVICE_001,503.5615224,71.46334876,125.8897481,1,21.72915014,1.779359577,28.46472835,7.647428676,4.716083543,130.0223193,63.64390026,388.2837116,84.23718391,94.78041998,12.9716,93.03151644,37.44193192,8.916689128,77.5946,358.1364915,grid,123.9313028,21.65122927,974.1634546,1.818562684,89.20586194,25.38534282,22.34407811
175.0602235,326,48.08335528,1063.169836,59.20233687,37.23651931,32.22983544,1/5/2000 0:00,Industrial,DEVICE_001,521.0880285,46.29799088,74.28845099,0,20.02856686,3.240532803,78.26527576,17.69680615,2.511873423,181.7136668,113.9779261,464.7391969,49.23976528,109.6725543,12.9716,61.16249819,45.2013831,6.460094482,77.5946,530.1484408,solar,105.8623642,130.8143473,1014.224009,2.597225191,97.754532,105.6443403,26.74413151
175.8864215,61,48.07901366,1355.638957,30.93279331,51.12454757,29.77602436,1/6/2000 0:00,Urban,DEVICE_001,529.4702514,41.43658998,148.7153327,0,28.99166706,2.105793506,16.24323228,5.952085175,2.854703223,106.0732254,39.49826792,425.9704465,63.14028081,49.0258404,12.9716,42.7352969,33.6230375,8.199983726,77.5946,597.4446145,grid,32.76637151,77.27839172,970.3353154,1.620732963,80.76008717,115.9076277,22.8568393
21.78392519,206,30.45505019,1169.843905,74.44842076,49.81386789,33.6763625,1/7/2000 0:00,Industrial,DEVICE_001,611.0775662,41.07794744,199.6624084,1,36.73726844,3.681074474,97.69574517,14.81085062,1.354089261,147.7258876,102.0358412,515.9119093,33.03044825,77.52305892,12.9716,78.08847251,32.04636079,6.001230868,77.5946,628.8121668,grid,137.5298058,19.6255469,982.8991788,2.948630276,84.61180492,175.0438626,33.84147294
160.0483352,186,175.9117062,1366.026334,85.63737426,37.30939729,34.48742257,1/8/2000 0:00,Industrial,DEVICE_001,590.121146,50.52645725,117.7609214,1,31.44630371,2.625908482,74.02042415,24.51766245,3.435996444,150.5700099,118.7827183,470.0989226,32.6328653,54.46641419,12.9716,33.16289126,43.12919145,7.788548008,77.5946,648.5706553,grid,125.155214,86.96041572,1012.30988,2.263222501,102.6574999,107.4374862,24.12504228
102.932048,230,128.2007021,939.2196945,19.46314736,53.66263864,30.25235766,1/9/2000 0:00,Rural,DEVICE_001,623.5572918,55.79745719,103.2092835,0,39.98414598,1.334094146,53.45977574,7.789485732,2.152847874,76.11633888,76.4966208,376.0125912,73.22239276,55.34298132,12.9716,72.41588533,39.92518697,8.747829012,77.5946,726.3310909,solar,142.9719879,68.40299906,999.5404945,1.931183892,33.71182102,15.33032115,27.83718746
197.9912974,159,147.453064,1192.542716,9.904636073,55.04873127,25.54793753,1/10/2000 0:00,Rural,DEVICE_001,694.1974677,79.85695026,110.105625,1,25.73693291,2.278046246,41.90178242,8.254024479,1.641236158,68.76390693,78.29720108,388.4666354,56.66879868,40.69265225,12.9716,13.57400868,43.18145477,6.863802282,77.5946,446.9583083,grid,111.6007312,132.8849167,954.3542258,1.818602555,61.28387082,16.50610027,37.91349555
106.9817737,171,23.70520897,920.1681601,14.62777042,54.34684616,28.90464203,1/11/2000 0:00,Rural,DEVICE_001,715.8435824,37.19346561,67.27192676,0,25.6091013,1.524092084,67.63423081,4.162457569,3.178125172,99.33715311,73.14240063,414.6324211,45.37754252,92.64490635,12.9716,85.54672338,31.46642325,6.556577926,77.5946,404.2168201,grid,95.87812743,38.55924451,960.3112131,1.961527807,30.43908581,32.57550391,24.08632767
197.6412702,143,194.5837734,937.5919221,41.68659387,64.4929562,30.43387345,1/12/2000 0:00,Urban,DEVICE_001,673.1553843,74.09555084,182.4910402,1,23.1949892,1.931354498,54.65034764,2.356246099,3.129241054,66.63506602,30.90133172,434.0132156,41.42480976,112.6603049,12.9716,50.33537623,34.67831327,7.955039385,77.5946,733.1917274,solar,68.55402508,125.7050453,950.5489114,1.790919469,118.5818209,80.93432589,30.15610128
155.822485,337,169.8396753,1443.862472,83.10384123,46.60206039,31.17061814,1/13/2000 0:00,Industrial,DEVICE_001,779.9856632,61.88729485,112.2238483,1,23.28127177,3.454360713,72.59851277,20.04572173,1.303486565,139.0338211,138.4632522,475.5425293,70.19720945,113.1863488,12.9716,67.30236229,23.35591843,8.137804222,77.5946,420.4757667,solar,140.5819877,88.07641677,994.1645253,2.66090081,113.5668241,201.1981486,28.38543322
64.74887923,303,58.22103992,983.5472227,80.15779098,42.82487524,33.75553918,1/1/2000 13:00,Industrial,DEVICE_001,358.2046622,47.27672056,108.0911617,0,25.70373192,2.562068593,87.22968709,29.36159559,3.792861814,161.8912182,138.5291272,489.5507704,30.02409264,25.09984776,12.9716,29.91140378,22.09105489,8.064091557,77.5946,788.6420366,grid,131.2489445,17.64544245,981.3371398,2.50391017,9.534083307,124.8725582,20.36248082
116.9110963,112,52.7284941,1219.452409,41.80622974,65.52785346,29.54655509,1/1/2000 14:00,Urban,DEVICE_001,438.1000936,59.56917507,148.9535409,0,35.85680091,2.0543559,35.628246,6.929621165,3.495088763,58.70337694,67.52394548,421.0576365,78.35347015,105.5955197,12.9716,70.93663414,30.13828519,6.95795064,77.5946,729.1422032,grid,16.33061381,146.0583422,959.3992396,1.984133343,86.14114484,96.32636518,35.85516227
198.5844151,134,53.01281177,1146.657362,17.3691646,69.48898697,25.53795304,1/1/2000 15:00,Rural,DEVICE_001,353.4032937,47.99652419,116.3050131,1,38.11513581,1.110127332,48.51686968,5.617393006,1.756069131,116.4138402,57.14167448,397.870846,34.75497637,89.80461576,12.9716,79.50162483,22.96987437,6.756607206,77.5946,575.3944727,grid,13.69137643,81.76613417,1017.055388,2.231719116,111.4035565,48.65774511,21.38091813
174.3555094,276,74.76360373,1108.405996,115.9164282,48.03183097,32.94054928,1/1/2000 16:00,Industrial,DEVICE_001,641.3636214,65.76491731,147.2350203,1,39.50174339,3.221123635,65.60158052,13.4071492,2.877739449,171.6116173,142.0985644,501.1856257,41.48937689,34.07630108,12.9716,52.58918682,24.15098835,8.8677564,77.5946,791.6396412,grid,62.70487136,50.72275959,987.0761807,2.773153666,25.76616469,169.0272089,29.48510042
37.52604088,98,114.4561577,1439.900007,14.82735172,78.99964457,30.22102245,1/1/2000 17:00,Rural,DEVICE_001,754.113747,56.03063537,59.21694352,1,24.64579308,1.516792026,77.81306591,6.073968748,3.881291666,124.4295,71.68777774,388.6272818,53.17418372,12.73773049,12.9716,65.59542317,52.51713622,8.769898525,77.5946,393.8195281,grid,123.4774663,75.71695788,966.9325306,1.975173522,70.31370151,15.93594733,31.2135659
147.1469594,103,97.75010336,913.0940381,43.76395849,44.67652293,30.94587648,1/1/2000 18:00,Industrial,DEVICE_001,459.5670335,39.86433174,172.0585016,1,37.62595091,2.196596019,65.75721432,13.29298251,3.117742962,101.3491614,108.0620534,527.7920566,59.09152438,35.81968569,12.9716,51.06933314,21.55494788,7.37194983,77.5946,486.3795925,solar,148.2186581,130.1000897,985.04225,2.243427844,110.2811542,146.66388,32.56852913
82.20432546,141,72.42124524,1298.273812,10.3108748,71.05900632,31.40669692,1/1/2000 19:00,Rural,DEVICE_001,767.1655452,36.99498447,191.0755929,1,26.56510179,1.706019075,57.99661492,9.030070534,2.581956305,112.8446488,88.96843694,428.5273149,51.29970695,109.9039472,12.9716,90.46822323,46.35771176,8.538581598,77.5946,637.2009868,solar,31.05836475,52.68643741,997.5734233,2.114178102,8.903787537,16.22330632,33.77263259
21.25680714,179,130.1335211,1478.036661,66.4477209,35.9150075,29.77456826,1/1/2000 20:00,Industrial,DEVICE_001,377.1203256,62.80174092,147.3148079,0,22.25681089,4.620260997,75.27096133,17.57318226,2.289353832,152.4562242,135.1793844,462.6546961,49.2427299,77.81554761,12.9716,54.80822625,30.90230995,7.356970433,77.5946,507.5030908,grid,93.17830015,36.97469551,955.3367453,2.705878057,85.20333073,126.8152436,25.06544767
92.62657442,143,45.10889492,1236.10091,47.76823004,44.15059277,28.52152714,1/1/2000 21:00,Urban,DEVICE_001,770.4962121,84.144782,193.1848893,1,37.40049851,1.804299094,15.08462213,4.904712578,3.441575467,90.37388915,66.390388,424.380226,87.83496072,87.921286,12.9716,85.76278381,54.86182723,7.273167054,77.5946,767.7676484,grid,63.32471993,28.06997457,969.2292671,2.132753958,39.19513585,86.46786396,20.19957553
